,Rank_2019,Rank_2018,Firm,Firm_Type,Total_2018_Revenue($ MILL.)
84,85,67,"DANNENBAUM ENGINEERING CORP., Houston, Texas",E,15.9
85,86,96,"AFG GROUP INC., Herndon, Va.",CM,15.6
86,87,72,"CHANEN CONSTRUCTION CO. INC., Phoenix, Ariz.",C,15.4
87,88,84,"SWINERTON, San Francisco, Calif.",C,15.4
88,89,77,"ELECTRICAL CONSULTANTS INC., Billings, Mont.",E,14.9
89,90,78,"POWER ENGINEERS INC., Hailey, Idaho",E,14.1
90,91,**,"O&G INDUSTRIES INC., Torrington, Conn.",C,13.6
91,92,98,"MOCA SYSTEMS INC., Boston, Mass.",CM,13.0
92,93,75,"JAMES R. VANNOY & SONS CONSTR., Jefferson, N.C.",C,13.0
93,94,**,"CRAWFORD CONSULT. SERVICES, East Pittsburgh, Pa.",CM,12.8
94,95,**,"CRB, Kansas City, Mo.",EC,12.8
95,96,95,"CAMPUS CONSTRUCTION MGMT., Pittsford, N.Y.",CM,12.4
96,97,**,"INFINITE CONSULTING CORP., Hicksville, N.Y.",C,12.3
97,98,**,"FULCRUM LLC, Scottsdale, Ariz.",CM,11.8
98,99,**,"O’CONNOR CONSTRUCTION MGMT. INC., Irvine, Calif.",CM,11.1
99,100,**,"ROCKFORD CONSTRUCTION CO., Grand Rapids, Mich.",C,11.1
